keyID,debugInfos,creationTimestamp,dernierTimeTampsSynchronisationAvecFireBase,its_in_echantiallants,its_pour_affiche_au_presenter,parentProduit_Classement,processPositioningInFactory,aAffiche,nomImageFichieSansEtansion,telephone_Prise_depuit,count_Don_Depot,a_cammende_depuit_grossist,nomCouleurStrSiSonImageDispo,parentBProduitInfosKeyID,parentBProduitOldID,parentId1ProduitInfosDebugName,indexCouleurDansAncienProto,extensionDisponible,dernier_achant_timeTamp
-OWDMGZDqaH-l2-2wH8p,,1753661380181,1778673509867,false,true,64,CreeAuGeneralHandler,Image,68_1,,1,5,Couleur_1,-OV3rmYpMtPTAdmCNYQr,68,Caprice Stick®,0,jpg,0
-OWDMGZMWHK26dUyFu7H,,1753661380190,1753661380206,false,false,64,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🍡 fruité 🍡,-OV3rmYpMtPTAdmCNYQr,68,Caprice Stick®,1,webp,0
-OWDMGZrrlZckSmJCW-P,,1753661380222,1753661380243,false,false,,CreeAuGeneralHandler,Image,69_1,,0,0,🍫 Noir 🍫,-OV3rmYq-d86pgsEomXh,69,Maxon Tablette®,0,webp,0
-OWDMGZzogn_rmbUGaS3,,1753661380230,1753661380244,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🥞 Caramel 🥞,-OV3rmYq-d86pgsEomXh,69,Maxon Tablette®,1,webp,0
-OWDMG_5gf2pT_gKPh6F,,1753661380237,1753661380244,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🌰 بندق 🌰,-OV3rmYq-d86pgsEomXh,69,Maxon Tablette®,2,webp,0
-OWDMG_BBlz628sz-q85,,1753661380243,1753661380245,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🥛 lait 🥛,-OV3rmYq-d86pgsEomXh,69,Maxon Tablette®,3,webp,0
-OWDMG_SHHFo_gqBY5Zn,,1753661380260,1779185369283,false,true,77,CreeAuGeneralHandler,Image,74_1,,2,11,🌿 نعناع 🌿,-OV3rmYrbTxquhBCKwEW,74,May 200®,0,webp,0
-OWDMGa4zpS17Uqmtrde,,1753661380300,1778423695042,false,true,71,CreeAuGeneralHandler,Image,75_1,,0,17,🍡 fruité 🍡,-OV3rmYrbTxquhBCKwE_,75,Napolitano®,0,webp,0
-OWDMGaaec548KX-fJwb,,1753661380333,1779185369284,false,false,,CreeAuGeneralHandler,Image,76_1,,1,0,🍓 Fraise 🍓,-OV3rmYv9nFbPhQJq8Fe,76,Caprice Chwingum®,0,webp,0
-OWDMGb97S7O92E9sD2u,,1753661380369,1753661380389,false,false,,CreeAuGeneralHandler,Image,80_1,,0,0,🥞 Caramel 🥞,-OV3rmZ51uZ3BBDOJ3JF,80,Moment Bar®,0,webp,0
-OWDMGbG6Yu-yWBC0RQA,,1753661380376,1753661380389,false,false,,CreeAuGeneralHandler,Image,Non Dispo,,0,0,🍪 oreo 🍪,-OV3rmZ51uZ3BBDOJ3JF,80,Moment Bar®,1,webp,0
-OWDMGbsb3_8abnBFqNb,,1753661380415,1779185369256,false,false,,CreeAuGeneralHandler,Image,82_1,,1,9,🎇 nougat 🎇,-OV3rmZB2ffLjTxgS0p4,82,Trix®,0,webp,0
