keyID,id,creationTimestamps,dernierTimeTampsSynchronisationAvecFireBase,defaultNonSaved_Entre,its_From_CalculeParNewBenifice,laisse_Au_Gerant,typeChoisi,prixCurrency,profitMargin,suggestedUpgrade,parent_M14VentPeriod_KeyId,parent_M14VentPeriod_DebugInfos,parent_M1Produit_KeyId,parent_M1Produit_DebugInfos,parent_M8BonVent_KeyId,parent_M8BonVent_DebugInfos,parent_M2Client_KeyId,parent_M2Client_DebugInfos
-OcKOtBw1j5TRQcrtd1I,0,1761295701759,1767088566569,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,650.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OatXXVji-6A_OPcfUQb,cornet,null,null,null,null
-OcKP7WPbhMEvhYj9ZPW,0,1761295764509,1763007954422,true,true,false,Tariff_ItsWorkInGrossist_Achat,535.0,0.0,,-OcCdqc_AdtS_95I41sl,,-O_SiICRiyk4ry1SyenB,Dawaba,null,null,null,null
-OcKP7WPbhMEvhYj9ZPX,0,1763007952307,1775324019732,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,540.0,0.0,,-OcCdqc_AdtS_95I41sl,,-O_SiICRiyk4ry1SyenB,Dawaba,null,null,null,null
-OcMNFsDsTZQOEaNHLZr,0,1761328829701,1761328833492,true,true,false,Tariff_ItsWorkInGrossist_Achat,375.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcG8-4yUpouYGTs4emL,Nestella,null,null,null,null
-OcMNFsENu2b8JTkxgeo,0,1761328829702,1761328833511,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,380.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcG8-4yUpouYGTs4emL,Nestella,null,null,null,null
-OcMOqhYsorMHQjRak4q,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,240.0,0.0,,,,-OcG8ZRgFPVipxg_yP4g,Toffita,null,null,null,null
-OcMOx8Rlfv8_UX_Jjh5,0,1761329273171,1772277132899,true,true,false,Tariff_ItsWorkInGrossist_Achat,225.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcG8ZRgFPVipxg_yP4g,Toffita,null,null,null,null
-OcMPwH8AlCu5RjniMff,0,1761329531776,1761329546834,true,true,false,Tariff_ItsWorkInGrossist_Achat,675.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcG8IcOYMRfxkOfdNPz,Mamamia Blue,null,null,null,null
-OcMPwH9sH66Oo7ljOEK,0,1761329531777,1761522488096,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,680.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcG8IcOYMRfxkOfdNPz,Mamamia Blue,null,null,null,null
-OcMQ1EdgTrxvWUGdIN1,0,1761329556192,1761329558838,true,true,false,Tariff_ItsWorkInGrossist_Achat,595.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcG8LvsxuJVcU9Z7r1j,Pipas,null,null,null,null
-OcMQ1EdgTrxvWUGdIN2,0,1761329556192,1761522302621,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,600.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcG8LvsxuJVcU9Z7r1j,Pipas,null,null,null,null
-OcMQ5Ul6_AbnTViKeLn,0,1761329573608,1766738675204,true,true,false,Tariff_ItsWorkInGrossist_Achat,415.0,0.0,,-OcCdqc_AdtS_95I41sl,,-ObSZQpm4oi0N1nKnsyc,hnina sachet 5da,null,null,null,null
-OcMQB1p4Xdx5epRAJo7,0,1761329596332,1761592479125,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,270.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OV3rmVpU5CZdqVUIc3D,Chergui®,null,null,null,null
-OcMQBxIwmnUOL9ZF6zC,0,1761329600074,1761329610411,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,300.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcG8wQZdzQoxWx0s1k8,Afrah Izem,null,null,null,null
-OcMQD-Oqps-s0hlhMTc,0,1761329604368,1761329610404,true,true,false,Tariff_ItsWorkInGrossist_Achat,295.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcG8wQZdzQoxWx0s1k8,Afrah Izem,null,null,null,null
-OcMQI6TZSErFMK0-AwL,0,1761329625301,1761329627368,true,true,false,Tariff_ItsWorkInGrossist_Achat,195.0,0.0,,-OcCdqc_AdtS_95I41sl,,-Obcb9Iixa3ON7L_C3WZ,Flause,null,null,null,null
-OcMQIx8nkN_88rxsv2N,0,1761329628736,1771104634178,true,true,false,Tariff_ItsWorkInGrossist_Achat,430.0,0.0,,-OcCdqc_AdtS_95I41sl,,-ObSZV_CU1sSyOIzPith,maxon sachet 5da,null,null,null,null
-OcMyTCFWagOaj6f3Bnj,0,1769687103211,1778657617687,false,true,false,Tariff_ItsWorkInGrossist_SuperGros,700.0,0.0,Historique,,,-Oc6SIbgDr0eTKUxk4zo,Tak Tik,null,null,null,null
-OcN77exvCz3h2kZHx68,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,600.0,0.0,,,,-OcN73_qwa17WfWFDzph,Moussline,null,null,null,null
-OcN78g56KpqLyKEmFlX,0,1761341381432,1764143047103,true,true,false,Tariff_ItsWorkInGrossist_Achat,595.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcN73_qwa17WfWFDzph,Moussline,null,null,null,null
-OcPCORHYLaR6Tkyu96k,0,1761376312642,1761376316096,true,true,false,Tariff_ItsWorkInGrossist_Achat,425.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcPCN9t0sK5pR14QJGQ,Mega Lina,null,null,null,null
-OcPCORIdSplFTBajgBK,0,1761376312643,1776756274869,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,430.0,0.0,Historique,-OcCdqc_AdtS_95I41sl,,-OcPCN9t0sK5pR14QJGQ,Mega Lina,null,null,null,null
-OcQNGiuN7_7UfQhfnAy,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,450.0,0.0,,,,-OcQN4ZUSK5JxeMtydSe,Foudi,null,null,null,null
-OcQNGs7nrGdAtvkvluP,0,1769687103211,1769687103211,true,true,false,Historique,0.0,0.0,Edited_Pour_Client,,,-OcQN4ZUSK5JxeMtydSe,Foudi[YDSE],null,null,null,null
-OcQNH2pKJH3L3-9uQw-,0,1761395941698,1761395944183,true,true,false,Tariff_ItsWorkInGrossist_Achat,445.0,0.0,,-OcCdqc_AdtS_95I41sl,,-OcQN4ZUSK5JxeMtydSe,Foudi,null,null,null,null
-OcQNVOt9A8bSqnC2TqS,0,1769687103211,1779707145868,false,true,false,Tariff_ItsWorkInGrossist_SuperGros,520.0,0.0,Historique,,,-OcQNLDy9DTltf5obrKI,Izem,null,null,null,null
-OcQNXNpNDEsK7MheXRO,0,1761396008578,1778909544902,true,true,false,Tariff_ItsWorkInGrossist_Achat,500.0,0.0,Historique,-OcCdqc_AdtS_95I41sl,,-OcQNLDy9DTltf5obrKI,Izem,null,null,null,null
-OcQNvEjOgXXz6r7amig,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,680.0,0.0,,,,-OcQNtL1YJ9FIQjHLgFi,Amar Ezzom,null,null,null,null
-OcQPUgHLBkyhIEORMH-,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,370.0,0.0,,,,-O_ShwoxYK7ufg0aVOLu,Gauffreto,null,null,null,null
-OcQPd1c3rLQYTY1CVbZ,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,0.0,0.0,,,,-OcQPavKbTzKTUG7pT4B,Mamamia,null,null,null,null
-OcQPrtcnDzvU1-dk1uF,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,690.0,0.0,,,,-OcQPqdjI95vSqangUKe,Mamamia 10da,null,null,null,null
-OcQQ61cOdXWs86MecdT,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,190.0,0.0,,,,-OV3rmUkMxtbVBvZZdnI,kenos Sachet,null,null,null,null
-OcQQFCNyXg7pTubtC-c,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,420.0,0.0,,,,-OcQQE03uSjMujIw1XUr,Mitchco 10da,null,null,null,null
-OcQQJgpjBRlfNdAofgb,0,1761421187555,1761421192699,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,350.0,0.0,,,,-OcQQHlOkzXMkYFM-syT,Mitcheco 5da,null,null,null,null
-OcRR9pSAb9qQ1gjcoyV,0,1769687103211,1769687103211,true,true,false,Historique,75.0,0.0,Edited_Pour_Client,,,-OV3rmZuSJnI819ZUN-s,miswak locale 25bonus[UN-S],null,null,null,null
-OcRlY0g5lbrEF8l2Vd6,0,1769687103211,1769687103211,true,true,false,Tariff_ItsWorkInGrossist_SuperGros,600.0,0.0,,,,-OcRlPBmv44l0L0A101r,Candy Hopex,null,null,null,null
