keyID,creationTimestamp,dernierTimeTampsSynchronisationAvecFireBase,appDesignedPourWorkingGrossisst3Ali,its_mode_affiche_que_produits_au_depot,mode_edite_dispo,credit_fait,nom,autres_Noms_SepareParComma,deviceModelNom,deviceModelId,period_Qui_Doit_Etre_Au_Entre,separeted_by_commas_keys_clients_a_cible_groupe_n1,keys_clients_a_cible_groupe_n2,keys_clients_a_cible_groupe_n3,image_detail_produit_s_affiche,presentoireEBoutiqueFilterProduitDuCatalogueAvecBsonObjectId,hideAppScreen,travailleChezGrossisst3Ali,affiche_toujoure_tariffs_tournet,its_Admin,c_Ouvert_Pour_Au_Command_Add_Period,text_Message_Warning,ne_affiche_que_fragment,itsProductionModePourCeCompt,ceComptVendeurInsertBonsAchatAuPeriodID,ceComptVendeurStartAffichePeriod,migreSonDataBaseAuStart,cConnectAuDevelopingDataBaseAuRelodApp,mainInitDataBaseProgressEtate,filter_marqueClient_Name,next_start,force_next_start_,activeDialogSearchM1Produit,active_ProduitKeyID_Au_DroopDown_PresenterEcran,active_CouleurKeyID_Extended_Image,affiche_Dialog_Fast_Affiche_Panie_App4,affiche_ProduitDataBaseEdites_ComposableViews,couleurAchateOperationIdOuvertPourCeCompt,couleurAchateOperationKeyOuvertPourCeCompt,ouvertProduitOnVentNom,current_OnVent_M14VentPeriode_KeyID,current_OnVent_M14VentPeriode_DebugInfos,onVentM8BonVentKey,onVentM8BonVentDebugInfos,onVentM1ProduitInfosKeyID,onVentM1ProduitInfosDebugName,onVentM3CouleurProduitInfosKeyID,onVentM3CouleurProduitDebugInfos,dialogAboveAll_OutlinedSearchListProduits,dialogChoisireQuantityM1ProduitInfosKeyID,dialogChoisireQuantityM1ProduitInfosDebugName,activeFocuce_TariffPrixDifineur_M1ProduitKeyID,activeFocuceTariffPrixDifineurM1ProduitDebugInfos,startTextSearchM1Produit,click_On_Marque,KeyByParent,vid,limite_couleurs_ou_leur_last_achate_est_moin_que_jour
-OplURhhIfWXZUCTIFfU,1775725563190,1775725563190,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OplZkSVBPxozCMdIK5P,1775726955217,1775726955217,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OpuvVOjlK1LJC9C_ka2,1775883912815,1775883912815,true,true,false,0.0,,,M2010J19SG,QKQ1.200830.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-Oq-cRN-sTkV5aSqH6OY,1775979578251,1775979578251,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-Oq01bbJ8dibRnOBx1PP,1775986441142,1775986441142,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-Oq0n3b-ozsVURAwZAp_,1775999143008,1775999143008,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-Oq4yueNFlMoLj_0Iej3,1776069357277,1776069357277,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-Oq5JqMHoJWeRWYlt_pc,1776075105747,1776075105747,true,true,false,0.0,,,M2010J19SG,QKQ1.200830.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-Oq7SDSvURbHFrd9qfvg,1776110856059,1776110856059,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqA2V-VNwjL9Xf48fKc,1776154444979,1776154444979,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OqBYG2-5zwAKoRwg0RR,1776179548353,1776179548353,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
