id,keyID,creationTimestamp,bsonObjectId,dernierTimeTampsSynchronisationAvecFireBase,dernierFireBaseUpdateTimestamps,count_Don_Depot,processPositioningInFactory,idParentCategorie,positionDonSonCesFrereCategorieProduits,nom,nomMutable,nomArab,autreNomDarticle,etateActuelleOnFusionAvecBaseDonne,tag_prioriter_str,nombreUniteInt,nombreProduitDonSonCarton,its_Carton,cartonState,heldPrioriteDemandAuGrossist,position_store_3jamale,dernier_timeTamps_position_store_3jamale,prixDefiniParGerant,prixVent,cachePrixVent,pourcentage_Prix_Progressive,prixAchat,prixAchatDernierTimeTempUpdate,clientPrixVentUnite,afficheUniteAuPrint,actualiseSonImage,actualiseSonImageTest2,afficheCesDetailPourComptBsonId,disponibilityEtates,disponibilityEtates_Pour_presentaion_par_Camion,keyFireBase,couleur1,couleur2,couleur3,couleur4,couleur5,couleur6,couleur7,couleur8,couleur9,idcolor1,idcolor2,idcolor3,idcolor4,idcolor5,idcolor6,idcolor7,idcolor8,idcolor9,nomCategorie2,affichageUniteState,commmentSeVent,afficheBoitSiUniter,minQuan,monBenfice,neaon2,funChangeImagsDimention,nomCategorie,neaon1,lastUpdateState,dateCreationCategorie,prixDeVentTotaleChezClient,benficeTotaleEntreMoiEtClien,benificeTotaleEn2,monPrixAchatUniter,monPrixVentUniter,articleHaveUniteImages,itsNewArrivale,imageDimention,idForSearchArticles,prioriter,quantite_Boit_Par_Carton,setIN_Vent_Its_Quantity_Represent
4235,-Od8hxx1XAXXXt5gMZgQ,1774956684513,-Od8hxx1XAXXXt5gMZgS,1774956736852,1763545221081,0,CreeAuGeneralHandler,1755942577975,0,s,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",12,1,false,,false,0,0,0.0,0.0,false,60,355.0,0,0.0,false,1,1,,NON_DISPO,NON_DISPO,-Od8hxx1XAXXXt5gMZgQ,-OezbO7O2hSEIAHrk1Ej,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,6,quantity_Par_Boit
4236,-Od8mBrVzO8EQHjUtCIQ,1774956684513,-Od8mBrVzO8EQHjUtCIS,1774956736852,1767254562304,0,CreeAuGeneralHandler,1755942577975,0,Halima Turk,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,445.0,0,0.0,false,2,2,,NON_DISPO,NON_DISPO,-Od8mBrVzO8EQHjUtCIQ,-Od8mBrVzO8EQHjUtCIP,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,3,quantity_Par_Boit
4237,-OdDFD1TaV4GOVAsnx-V,1774956684514,-OdDFD1TaV4GOVAsnx-X,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,0.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OdDFD1TaV4GOVAsnx-V,-OdDFD1TaV4GOVAsnx-U,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
4238,-OdHXFnfUt_TQsIAfrDm,1774956684515,-OdHXFnfUt_TQsIAfrDo,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,Pop Corne sachet,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,425.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OdHXFnfUt_TQsIAfrDm,-OdHXFnfUt_TQsIAfrDl,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
4239,-OdHXLwEIpgiG9ZqPLw0,1774956684516,-OdHXLwEIpgiG9ZqPLw2,1778750217044,1778659744755,4,CreeAuGeneralHandler,1778750212788,0,Casse Popcorne,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",40,1,false,,false,0,0,0.0,0.0,false,60,490.0,0,25.0,false,2,2,,DISPO,NON_DISPO,-OdHXLwEIpgiG9ZqPLw0,-OdHXLwEIpgiG9ZqPLw-,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
4240,-OdHZCX2hspjHno3BeqD,1769712574604,-OdHZCX2hspjHno3BeqF,1779312307995,1778773101393,12,CreeAuGeneralHandler,1778777303113,0,papie mouchoireLilase,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",10,1,false,,false,0,0,0.0,0.0,false,60,75.0,0,0.0,false,1,1,,DISPO,NON_DISPO,-OdHZCX2hspjHno3BeqD,-OdHZCX2hspjHno3BeqC,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,20,quantity_Par_Boit
4241,-OdHgwjNMA5gDegCxW0s,1774956684517,-OdHgwjNMA5gDegCxW0u,1774956736852,1767428687829,0,CreeAuGeneralHandler,1755942577975,0,Yanel Halkoum,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,525.0,0,0.0,false,1,1,,NON_DISPO,NON_DISPO,-OdHgwjNMA5gDegCxW0s,-OdHgwjNMA5gDegCxW0r,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,3,quantity_Par_Boit
4242,-OdHh7CSqBjuIH5FUYZ9,1774956684518,-OdHh7CSqBjuIH5FUYZB,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,Tout Serira Yasser,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,255.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OdHh7CSqBjuIH5FUYZ9,-OdHh7CSqBjuIH5FUYZ8,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,9,quantity_Par_Boit
4243,-OdHyR2BdTx5L3_SOjhV,1774956684519,-OdHyR2BdTx5L3_SOjhX,1778054324100,1765870977717,2,CreeAuGeneralHandler,1775371371495,0,Caprice 200 Fraise,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",200,1,false,,false,0,0,0.0,0.0,false,60,445.0,0,3.33,false,1,1,,DISPO,NON_DISPO,-OdHyR2BdTx5L3_SOjhV,-OdHyR2BdTx5L3_SOjhU,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,8,quantity_Par_Boit
4244,-OdI08I-77MdCrCW4_xp,1774956684519,-OdI08I-77MdCrCW4_xr,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,Classic,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,545.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OdI08I-77MdCrCW4_xp,-OdI08I-77MdCrCW4_xo,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
4245,-OdI0FV2FhmDnS_i5pwh,1774956684520,-OdI0FV2FhmDnS_i5pwj,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,Chitonla,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,0.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OdI0FV2FhmDnS_i5pwh,-OdI0FV2FhmDnS_i5pwg,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,3,quantity_Par_Boit
4246,-OdI0QqKbq9s303DR4AA,1774956684521,-OdI0QqKbq9s303DR4AC,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,Amel Chocola,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,425.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OdI0QqKbq9s303DR4AA,-OdI0QqKbq9s303DR4A9,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,3,quantity_Par_Boit
4247,-OdIXNtXzCZ89NI4Qp5V,1780864257032,-OdIXNtXzCZ89NI4Qp5X,1762338115826,0,0,CreeAuGeneralHandler,1755942577975,0,Kool Maxy,,,,CategorieOriginaleDefinie,,1,1,false,,false,0,0,0.0,0.0,false,60,1445.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,,-OdIXNtXzCZ89NI4Qp5U,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
4248,-OdIekYd5lE0xvH42ZdC,1780864257032,-OdIekYd5lE0xvH42ZdE,1762340308868,0,0,CreeAuGeneralHandler,1755942577975,0,Super Glue Techno,,,,CategorieOriginaleDefinie,,1,1,false,,false,0,0,0.0,0.0,false,60,315.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,,-OdIekYd5lE0xvH42ZdB,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
4249,-OdIfNqcHVpoCb7UrjMh,1774956684523,-OdIfNqcHVpoCb7UrjMj,1774956736852,0,0,CreeAuGeneralHandler,1755942577975,0,Eclaire Sachet,,,,CategorieOriginaleDefinie,"""Dernier_VentAchat_Est_Trop_Luin,""",1,1,false,,false,0,0,0.0,0.0,false,60,355.0,0,0.0,false,0,0,,NON_DISPO,NON_DISPO,-OdIfNqcHVpoCb7UrjMh,-OdIfNqcHVpoCb7UrjMg,,,,,,,,,1,0,0,0,0,0,0,0,0,,false,,,0,0.0,,false,,0.0,,,0.0,0.0,0.0,0.0,0.0,false,false,,0,,1,quantity_Par_Boit
